Generation Number,Elapsed Time,Best Fitness,Average Fitness
0,0.11128973960876465,94,121.77
1,0.14836335182189941,94,119.7
2,0.18697047233581543,94,118.76333333333334
3,0.20800542831420898,94,117.79333333333334
4,0.24769067764282227,92,116.27666666666667
5,0.27808713912963867,92,116.39666666666666
6,0.3185443878173828,92,115.21666666666667
7,0.3498570919036865,92,115.39
8,0.3811068534851074,92,114.83333333333333
9,0.408785343170166,92,114.90666666666667
10,0.44009971618652344,91,115.22333333333333
11,0.48555755615234375,91,114.86666666666666
12,0.511096715927124,89,113.69666666666667
13,0.5513124465942383,89,112.96333333333334
14,0.5684845447540283,87,112.79333333333334
15,0.606992244720459,87,111.22333333333333
16,0.6383340358734131,87,111.28
17,0.6761393547058105,87,111.48
18,0.6918020248413086,87,111.20666666666666
19,0.7303767204284668,87,112.17666666666666
20,0.7585477828979492,87,111.46666666666667
21,0.7893164157867432,87,111.65333333333334
22,0.8219587802886963,87,110.64
23,0.8532826900482178,87,110.85333333333334
24,0.874685525894165,87,110.57333333333334
25,0.9172611236572266,86,109.91333333333333
26,0.9328954219818115,86,109.36
27,0.9726161956787109,86,108.83666666666667
28,0.9971122741699219,86,109.15
29,1.0275096893310547,86,108.33
30,1.0537567138671875,86,108.61
31,1.091475009918213,85,107.78
32,1.1227211952209473,85,108.29333333333334
33,1.1466317176818848,83,107.81666666666666
34,1.1834378242492676,83,107.76
35,1.214691400527954,83,106.84666666666666
36,1.238297462463379,83,106.38333333333334
37,1.2668464183807373,83,106.69
38,1.3008849620819092,83,106.68666666666667
39,1.317770004272461,83,105.59666666666666
40,1.352764368057251,83,104.66333333333333
41,1.3763964176177979,83,103.67
42,1.4173073768615723,83,102.5
43,1.4329414367675781,83,102.14
44,1.468116283416748,83,101.16666666666667
45,1.4984397888183594,80,101.03333333333333
46,1.5362517833709717,80,100.92
47,1.5636157989501953,80,99.33333333333333
48,1.5830349922180176,80,98.89
49,1.6227591037750244,80,99.15666666666667
50,1.637075424194336,80,97.78
51,1.6756224632263184,80,98.00333333333333
52,1.6912524700164795,80,97.49333333333334
53,1.732848882675171,80,96.97
54,1.764111042022705,80,96.73
55,1.7868914604187012,80,96.14
56,1.8214333057403564,80,94.36333333333333
57,1.83705735206604,80,95.28666666666666
58,1.8719305992126465,78,94.49666666666667
59,1.9032518863677979,78,93.82666666666667
60,1.9250764846801758,77,92.77333333333333
61,1.954397201538086,77,91.59
62,1.9772496223449707,77,92.08333333333333
63,2.008570432662964,77,91.41333333333333
64,2.0398147106170654,77,90.43333333333334
65,2.059216260910034,76,89.22333333333333
66,2.0933194160461426,76,88.45
67,2.128657102584839,76,86.41333333333333
68,2.144304037094116,76,86.13666666666667
69,2.1818408966064453,76,85.57666666666667
70,2.213146686553955,76,85.10666666666667
71,2.2287673950195312,75,84.12666666666667
72,2.264939069747925,75,83.72333333333333
73,2.2961905002593994,75,82.1
74,2.3231313228607178,75,81.52666666666667
75,2.3580164909362793,75,81.27
76,2.3893203735351562,75,81.16333333333333
77,2.4142770767211914,75,80.96333333333334
78,2.4455885887145996,75,81.43333333333334
79,2.4611594676971436,75,80.4
80,2.4966132640838623,75,79.78333333333333
81,2.5278995037078857,75,79.87666666666667
82,2.5630943775177,74,79.42666666666666
83,2.592350482940674,74,79.07
84,2.623748302459717,74,79.08
85,2.6502368450164795,74,78.70666666666666
86,2.6815474033355713,74,78.95666666666666
87,2.7040822505950928,74,78.72666666666667
88,2.7373931407928467,74,79.09
89,2.772625684738159,74,78.52
90,2.803929567337036,74,78.35
91,2.8252906799316406,74,78.13333333333334
92,2.8507027626037598,74,78.22333333333333
93,2.891105890274048,74,78.54666666666667
94,2.9224212169647217,74,78.50666666666666
95,2.961538314819336,73,77.95333333333333
96,2.9876115322113037,73,77.15
97,3.016641139984131,73,77.53333333333333
98,3.053926944732666,72,77.05666666666667
99,3.078678607940674,72,77.19333333333333
100,3.107980728149414,72,76.85666666666667
101,3.1464502811431885,72,76.85666666666667
102,3.173072338104248,72,76.91
103,3.2044200897216797,72,76.58
104,3.234503984451294,72,76.27666666666667
105,3.2617204189300537,72,76.39
106,3.2930426597595215,72,76.15
107,3.3262939453125,72,76.61666666666666
108,3.36236310005188,72,76.80333333333333
109,3.3937015533447266,72,76.95333333333333
110,3.414787769317627,72,76.97333333333333
111,3.446098804473877,72,76.52
112,3.482267141342163,72,76.68
113,3.5134966373443604,71,76.60333333333334
114,3.5329439640045166,71,76.73666666666666
115,3.5642662048339844,71,76.94333333333333
116,3.5973639488220215,71,76.64333333333333
117,3.628669261932373,70,76.21
118,3.6528866291046143,70,75.94333333333333
119,3.6953532695770264,70,76.21
120,3.726626396179199,70,75.68666666666667
121,3.7539196014404297,70,75.22333333333333
122,3.7852609157562256,70,74.95333333333333
123,3.8148915767669678,70,74.71
124,3.8500311374664307,70,74.22333333333333
125,3.870434284210205,70,74.02333333333333
126,3.910749673843384,70,73.87
127,3.942082643508911,70,73.74
128,3.9632134437561035,70,73.67
129,4.00285530090332,70,73.50333333333333
130,4.024509906768799,70,73.44
