Generation Number,Elapsed Time,Best Fitness,Average Fitness
0,0.11385536193847656,98,120.13
1,0.16071677207946777,98,119.22666666666667
2,0.2075943946838379,91,117.06333333333333
3,0.2388312816619873,91,117.66
4,0.2857069969177246,91,116.89
5,0.33257436752319336,91,116.63666666666667
6,0.36382532119750977,91,116.25
7,0.4107041358947754,91,115.67666666666666
8,0.45756030082702637,91,115.88666666666667
9,0.5044283866882324,91,114.50666666666666
10,0.5402629375457764,91,114.85666666666667
11,0.5871376991271973,91,115.62333333333333
12,0.6340034008026123,91,115.11
13,0.6808774471282959,90,113.99666666666667
14,0.7121210098266602,90,113.50333333333333
15,0.758983850479126,90,114.04666666666667
16,0.8058581352233887,90,112.93333333333334
17,0.8527336120605469,90,113.57
18,0.8995945453643799,90,114.09
19,0.946465253829956,90,113.49666666666667
20,0.9933338165283203,86,112.50666666666666
21,1.0274858474731445,86,112.48666666666666
22,1.074399471282959,86,111.85
23,1.1167855262756348,86,111.48333333333333
24,1.163651943206787,86,110.81
25,1.2105202674865723,86,110.97333333333333
26,1.2574033737182617,86,111.35
27,1.304257869720459,86,110.01666666666667
28,1.3511288166046143,86,110.13666666666667
29,1.3979995250701904,86,109.23333333333333
30,1.4448692798614502,84,109.56
31,1.49173903465271,84,109.63666666666667
32,1.5426702499389648,84,109.58666666666667
33,1.589587688446045,84,108.25666666666666
34,1.6364662647247314,84,107.79333333333334
35,1.6833250522613525,84,106.71333333333334
36,1.7145740985870361,84,106.02666666666667
37,1.761451005935669,84,105.34333333333333
38,1.8083157539367676,83,104.37333333333333
39,1.8551814556121826,83,103.34666666666666
40,1.9020605087280273,83,102.32
41,1.9489266872406006,82,101.49666666666667
42,1.9962096214294434,82,101.40666666666667
43,2.0464320182800293,82,100.47333333333333
44,2.0933597087860107,82,99.10666666666667
45,2.140226125717163,81,97.15
46,2.1870956420898438,79,96.43
47,2.249584197998047,79,95.27666666666667
48,2.2964606285095215,79,94.81333333333333
49,2.343319892883301,78,93.32666666666667
50,2.3901946544647217,78,91.81
51,2.4370594024658203,76,91.08666666666667
52,2.48392915725708,76,89.51
53,2.5308072566986084,76,88.33
54,2.581406593322754,76,87.34333333333333
55,2.628269910812378,76,87.21666666666667
56,2.6751396656036377,76,86.6
57,2.7220077514648438,74,85.98666666666666
58,2.768876791000366,74,85.30333333333333
59,2.815748691558838,74,84.63
60,2.8734560012817383,74,84.08
61,2.920380115509033,74,83.82333333333334
62,2.9672441482543945,74,83.36333333333333
63,3.014125108718872,74,82.84333333333333
64,3.0649304389953613,74,82.69
65,3.111851692199707,74,81.37
66,3.1587188243865967,74,80.19
67,3.205585241317749,74,80.22333333333333
68,3.252455234527588,73,79.89
69,3.299328088760376,73,79.25333333333333
70,3.3461971282958984,73,78.99
71,3.393064260482788,73,78.25666666666666
72,3.4399404525756836,73,77.75333333333333
73,3.4868130683898926,73,77.90333333333334
74,3.5336833000183105,73,77.65666666666667
75,3.584885835647583,73,78.30333333333333
76,3.6317572593688965,73,78.06
77,3.678628921508789,73,77.71
78,3.7255005836486816,73,77.33333333333333
79,3.772369623184204,73,76.68666666666667
80,3.8192389011383057,73,76.46666666666667
81,3.8661105632781982,73,76.0
82,3.9129834175109863,73,76.34
83,3.959848403930664,73,75.75
84,4.006715774536133,73,75.73333333333333
85,4.053585767745972,73,75.27666666666667
86,4.104357481002808,73,75.61
87,4.151228666305542,73,75.25
88,4.198096990585327,72,74.82666666666667
89,4.244968414306641,72,74.72
90,4.291848182678223,72,74.86333333333333
91,4.338707208633423,72,74.45
92,4.401203632354736,72,74.62333333333333
93,4.448077917098999,72,74.98333333333333
94,4.494951009750366,72,74.88333333333334
95,4.541822671890259,72,74.79333333333334
96,4.593122482299805,72,74.52333333333333
97,4.640001058578491,72,74.81666666666666
98,4.686866998672485,72,74.98333333333333
99,4.733734130859375,72,75.24666666666667
100,4.780603408813477,72,75.26
101,4.843097448348999,72,74.88666666666667
102,4.889964818954468,72,75.18
103,4.936834812164307,72,75.54333333333334
104,4.9837141036987305,72,74.89666666666666
105,5.030582427978516,72,74.8
106,5.081708908081055,72,74.66333333333333
107,5.124937057495117,72,74.66
108,5.171819686889648,72,74.59666666666666
109,5.218681812286377,72,74.63
110,5.265545606613159,72,74.66666666666667
111,5.312433481216431,72,74.92666666666666
112,5.3593034744262695,72,74.69333333333333
113,5.406163692474365,72,74.54333333333334
114,5.453028678894043,72,74.52
115,5.499897241592407,72,74.79666666666667
116,5.5467729568481445,72,75.03666666666666
117,5.5976855754852295,72,74.34333333333333
118,5.644314289093018,72,74.32
119,5.691239833831787,72,74.68666666666667
120,5.738110065460205,72,74.5
121,5.784993410110474,72,74.41333333333333
122,5.831841230392456,72,74.29666666666667
123,5.878720998764038,72,74.39666666666666
124,5.925585508346558,72,74.39
125,5.972453832626343,72,73.84
126,6.019324541091919,72,73.66333333333333
127,6.066194534301758,72,74.04666666666667
128,6.112541675567627,72,73.75333333333333
129,6.1594624519348145,72,73.32666666666667
130,6.206331014633179,72,73.37
131,6.258639335632324,72,73.53333333333333
132,6.3055784702301025,72,73.54666666666667
133,6.355483055114746,72,73.36
134,6.406707763671875,72,73.08666666666667
135,6.455420970916748,72,73.51333333333334
136,6.502716541290283,72,73.31
137,6.546354532241821,72,73.73
138,6.5932776927948,72,73.09666666666666
139,6.632530689239502,72,73.56666666666666
140,6.677528619766235,72,73.64666666666666
141,6.724437713623047,72,73.44333333333333
142,6.771318435668945,72,73.42333333333333
143,6.818188667297363,72,73.26666666666667
144,6.865059852600098,72,73.5
145,6.911932706832886,72,73.59666666666666
146,6.958811521530151,72,73.91333333333333
147,7.001270771026611,72,73.45333333333333
148,7.048142194747925,72,73.81
149,7.095011472702026,72,73.21
150,7.1305084228515625,72,73.78
151,7.177396774291992,72,73.72666666666667
152,7.224261283874512,72,73.73333333333333
153,7.271138906478882,72,74.16
154,7.317988157272339,72,74.43666666666667
155,7.380498170852661,72,73.97333333333333
156,7.4273645877838135,72,73.83333333333333
157,7.474233150482178,72,73.0
158,7.521089315414429,72,73.81
159,7.567963361740112,72,73.91333333333333
160,7.619157314300537,72,74.34666666666666
161,7.666023015975952,72,74.33
162,7.71291184425354,72,74.18666666666667
163,7.759762763977051,72,74.13
164,7.791011571884155,72,74.09333333333333
165,7.837878704071045,72,74.04666666666667
166,7.895514488220215,72,73.91
167,7.926810264587402,72,73.84333333333333
168,7.9736785888671875,72,73.18
169,8.020553350448608,72,73.30333333333333
170,8.067418336868286,72,73.55666666666667
171,8.11839246749878,72,73.74666666666667
172,8.165308475494385,72,73.77666666666667
173,8.212188482284546,72,73.62333333333333
174,8.259047508239746,72,74.15333333333334
175,8.305917739868164,72,73.53333333333333
176,8.358213901519775,72,73.91333333333333
177,8.39521074295044,72,73.78666666666666
178,8.442073822021484,72,73.83333333333333
179,8.48894715309143,72,74.0
180,8.535818099975586,72,73.95666666666666
181,8.582699537277222,72,73.75666666666666
182,8.633838176727295,72,73.96333333333334
183,8.680758953094482,72,73.59333333333333
184,8.727623701095581,72,73.38
185,8.758870601654053,72,73.61666666666666
186,8.805747985839844,72,73.7
187,8.852625608444214,72,73.15666666666667
188,8.899479866027832,72,73.30666666666667
189,8.946354150772095,72,73.28666666666666
190,9.00884485244751,72,73.72333333333333
191,9.055667161941528,72,73.51333333333334
192,9.102537393569946,72,73.61
193,9.153515815734863,72,73.40333333333334
194,9.200385570526123,72,73.34666666666666
195,9.23163366317749,72,73.36333333333333
196,9.278505325317383,72,74.01666666666667
197,9.32538914680481,72,73.61333333333333
198,9.372249364852905,72,73.65
199,9.41911268234253,72,73.37
200,9.465982675552368,72,74.03
201,9.512855768203735,72,73.69333333333333
202,9.559730529785156,72,73.83333333333333
203,9.606592178344727,72,74.05
204,9.657533645629883,72,73.58333333333333
205,9.704395532608032,72,73.44333333333333
206,9.746778726577759,72,73.38666666666667
207,9.80928111076355,72,73.52666666666667
208,9.85615062713623,72,73.76
209,9.903014183044434,72,73.42333333333333
210,9.949884176254272,72,73.11333333333333
211,9.996751070022583,72,73.43
212,10.043629884719849,72,73.68333333333334
213,10.09050726890564,72,73.37
