Generation Number,Elapsed Time,Best Fitness,Average Fitness
0,0.10942864418029785,54,76.26333333333334
1,0.12503933906555176,54,73.16666666666667
2,0.14066529273986816,54,70.71333333333334
3,0.16271233558654785,52,70.45
4,0.1783907413482666,49,69.77666666666667
5,0.19402146339416504,49,67.54333333333334
6,0.2252652645111084,49,66.97
7,0.2408754825592041,49,65.91333333333333
8,0.256497859954834,49,64.38333333333334
9,0.27213191986083984,49,64.00666666666666
10,0.2877473831176758,49,63.15
11,0.30336856842041016,44,62.1
12,0.31899213790893555,44,60.70333333333333
13,0.33461570739746094,44,59.696666666666665
14,0.350238561630249,44,59.156666666666666
15,0.3658792972564697,44,58.99666666666667
16,0.3814883232116699,44,58.553333333333335
17,0.3971076011657715,44,58.336666666666666
18,0.4283630847930908,44,58.00666666666667
19,0.44397902488708496,44,58.22666666666667
20,0.45960044860839844,44,58.08
21,0.47522449493408203,44,57.03666666666667
22,0.49085521697998047,44,56.656666666666666
23,0.5064699649810791,43,57.10666666666667
24,0.522097110748291,43,56.24333333333333
25,0.5377223491668701,43,55.76
26,0.5533473491668701,43,55.973333333333336
27,0.5689685344696045,43,55.346666666666664
28,0.5845885276794434,43,55.26
29,0.600210428237915,43,55.25
30,0.6158359050750732,43,54.79
31,0.6470804214477539,43,54.78
32,0.6627037525177002,43,54.17
33,0.6814639568328857,43,53.5
34,0.697089433670044,43,53.236666666666665
35,0.712705135345459,43,52.21666666666667
36,0.7283287048339844,43,51.973333333333336
37,0.743959903717041,43,51.58
38,0.7595758438110352,42,51.45333333333333
39,0.7752084732055664,42,50.50333333333333
40,0.7908194065093994,42,50.15
41,0.8064465522766113,42,50.156666666666666
42,0.8220686912536621,42,49.586666666666666
43,0.8376920223236084,39,49.39666666666667
44,0.8533203601837158,39,48.52
45,0.8689472675323486,39,47.75333333333333
46,0.9001913070678711,39,47.156666666666666
47,0.9158101081848145,39,46.94
48,0.9314329624176025,39,46.79666666666667
49,0.9470608234405518,39,46.306666666666665
50,0.9626808166503906,39,46.02333333333333
51,0.9783084392547607,39,45.87
52,0.9939253330230713,39,45.42
53,1.0095458030700684,38,45.23
54,1.0251693725585938,38,44.723333333333336
55,1.0407958030700684,38,45.07
56,1.0564167499542236,38,44.50666666666667
57,1.0720469951629639,38,44.09
58,1.0876648426055908,38,44.053333333333335
59,1.1189122200012207,38,43.74333333333333
60,1.134535312652588,38,43.74333333333333
61,1.1501569747924805,38,43.263333333333335
62,1.1688618659973145,38,43.056666666666665
63,1.1862390041351318,37,42.85
64,1.2019047737121582,37,42.473333333333336
65,1.217524766921997,37,42.06666666666667
66,1.2331490516662598,37,41.85666666666667
67,1.2487709522247314,37,41.57333333333333
68,1.2643954753875732,37,41.07666666666667
69,1.2800226211547852,37,40.61333333333334
70,1.295644998550415,37,40.50333333333333
71,1.3112640380859375,36,40.276666666666664
72,1.326892375946045,36,40.01
73,1.3425114154815674,36,39.81666666666667
74,1.3581390380859375,36,39.52
75,1.389387607574463,35,39.38666666666666
76,1.4050047397613525,35,38.986666666666665
77,1.4206278324127197,35,38.873333333333335
78,1.436255693435669,35,38.92
79,1.4518775939941406,34,38.81333333333333
80,1.467498540878296,34,38.666666666666664
81,1.4831230640411377,34,38.653333333333336
