Generation Number,Elapsed Time,Best Fitness,Average Fitness
0,0.12941694259643555,100,120.67333333333333
1,0.1450347900390625,100,118.04333333333334
2,0.16066694259643555,97,116.85
3,0.17629694938659668,94,116.94333333333333
4,0.19192266464233398,94,116.04
5,0.2075517177581787,91,114.78666666666666
6,0.22317290306091309,87,114.19666666666667
7,0.23878979682922363,87,113.75333333333333
8,0.2544093132019043,87,113.13666666666667
9,0.2700233459472656,87,112.41
10,0.28565549850463867,87,111.55333333333333
11,0.3012721538543701,87,111.28666666666666
12,0.3168940544128418,87,112.16
13,0.3325212001800537,87,111.86333333333333
14,0.34813737869262695,80,111.31333333333333
15,0.37940025329589844,80,110.26
16,0.3950073719024658,80,110.6
17,0.41065526008605957,80,110.19333333333333
18,0.4262549877166748,80,108.70333333333333
19,0.441880464553833,80,108.51666666666667
20,0.4575002193450928,80,108.24333333333334
21,0.47313475608825684,80,106.78666666666666
22,0.48874926567077637,80,105.14
23,0.5043745040893555,80,104.66
24,0.5199944972991943,80,103.75
25,0.5356314182281494,80,102.0
26,0.5512428283691406,80,101.11666666666666
27,0.5668649673461914,80,99.64666666666666
28,0.5824880599975586,79,99.23333333333333
29,0.6021437644958496,79,98.21
30,0.6177725791931152,79,97.17666666666666
31,0.6334362030029297,74,95.51666666666667
32,0.6490578651428223,74,94.1
33,0.6646854877471924,74,93.35333333333334
34,0.6803040504455566,74,91.62
35,0.6959273815155029,74,91.09333333333333
36,0.7115511894226074,73,89.78333333333333
37,0.7271764278411865,73,88.47666666666667
38,0.7428040504455566,73,87.51333333333334
39,0.7584314346313477,73,86.49666666666667
40,0.7740440368652344,71,85.50666666666666
41,0.7896683216094971,71,84.83333333333333
42,0.8052985668182373,71,82.9
43,0.8209235668182373,71,81.5
44,0.836538553237915,71,79.74
45,0.8521709442138672,70,80.43333333333334
46,0.8677847385406494,70,79.04666666666667
47,0.883413553237915,70,78.32666666666667
48,0.8990356922149658,69,77.69666666666667
49,0.9302792549133301,69,76.78
50,0.9459245204925537,69,75.74
51,0.9615232944488525,69,75.27
52,0.9771533012390137,69,75.24333333333334
53,0.9927747249603271,69,75.27
54,1.0083954334259033,69,75.02666666666667
55,1.024019479751587,69,74.21666666666667
56,1.0396556854248047,69,73.66333333333333
57,1.0552644729614258,69,73.15333333333334
58,1.070889949798584,69,72.70666666666666
59,1.0865211486816406,69,72.61666666666666
60,1.1071302890777588,69,72.57666666666667
61,1.1229383945465088,68,72.24
62,1.138570785522461,68,72.02333333333333
63,1.1541895866394043,68,72.24666666666667
64,1.169806718826294,68,72.23
65,1.1854314804077148,68,72.32666666666667
66,1.2010595798492432,68,72.32333333333334
67,1.216674566268921,68,71.94666666666667
68,1.2322988510131836,68,71.97333333333333
69,1.247925043106079,68,72.13333333333334
70,1.263547658920288,68,71.67666666666666
71,1.2791697978973389,68,71.91666666666667
72,1.2947964668273926,68,71.73666666666666
73,1.3104169368743896,68,71.85666666666667
74,1.3260560035705566,68,72.03666666666666
75,1.3416736125946045,68,71.42333333333333
76,1.3572843074798584,68,71.08333333333333
77,1.3729195594787598,68,70.93
78,1.3885536193847656,68,71.32
79,1.4041774272918701,68,71.04333333333334
80,1.4197814464569092,68,71.01333333333334
81,1.435413122177124,68,71.03666666666666
82,1.461982011795044,68,71.15
83,1.4776616096496582,68,70.84
84,1.4932787418365479,68,70.66
85,1.5089106559753418,68,70.88666666666667
86,1.5245380401611328,68,70.83
87,1.5401480197906494,68,70.69666666666667
88,1.555769443511963,68,71.15
89,1.5713961124420166,68,71.02
90,1.5870156288146973,68,70.93666666666667
91,1.6075949668884277,68,70.84333333333333
92,1.6232657432556152,68,70.56333333333333
93,1.6388881206512451,68,70.68666666666667
94,1.6545095443725586,68,70.76333333333334
95,1.6701416969299316,68,70.8
96,1.6857571601867676,68,71.01666666666667
97,1.7013792991638184,68,70.67333333333333
98,1.717003583908081,68,70.36666666666666
99,1.7326366901397705,68,70.61666666666666
100,1.7482490539550781,68,70.47
101,1.7638869285583496,68,70.55
102,1.7794969081878662,68,70.45666666666666
103,1.7951228618621826,68,70.55666666666667
104,1.810758113861084,68,70.66333333333333
105,1.8263671398162842,68,70.64666666666666
106,1.8419902324676514,68,70.57666666666667
107,1.8576114177703857,68,70.11
108,1.873253583908081,68,70.50666666666666
109,1.888861894607544,68,70.26333333333334
110,1.9044818878173828,68,70.53333333333333
111,1.9201056957244873,68,70.72666666666667
112,1.9357349872589111,68,70.50333333333333
113,1.9669749736785889,68,70.37333333333333
114,1.9825985431671143,68,70.15666666666667
115,1.998222827911377,68,69.96
116,2.0138649940490723,68,69.91666666666667
117,2.0294792652130127,68,70.16
118,2.045093059539795,68,70.43666666666667
119,2.0607168674468994,68,70.59333333333333
120,2.076340436935425,68,70.49666666666667
121,2.0919649600982666,68,70.18666666666667
122,2.111724853515625,68,70.30666666666667
123,2.1273996829986572,68,70.12
124,2.143014907836914,68,70.12333333333333
125,2.158639430999756,68,70.41333333333333
126,2.174264669418335,68,70.33666666666667
127,2.1898865699768066,68,70.33
128,2.20550799369812,68,70.38333333333334
129,2.2264506816864014,68,69.91666666666667
130,2.231797695159912,68,70.45666666666666
131,2.2474281787872314,68,70.38333333333334
132,2.2630910873413086,68,70.77666666666667
133,2.278719663619995,68,70.26
134,2.294339895248413,68,69.79
135,2.3099606037139893,68,69.94
136,2.32560658454895,68,70.23666666666666
137,2.3412084579467773,68,69.95
138,2.3568356037139893,68,70.22
139,2.3724663257598877,68,70.09
140,2.388082265853882,68,70.23333333333333
141,2.4193356037139893,68,70.31333333333333
142,2.434948682785034,68,70.12666666666667
143,2.4505763053894043,68,70.07
144,2.4662013053894043,68,70.27666666666667
145,2.4818174839019775,68,70.38333333333334
146,2.4974453449249268,68,70.19666666666667
147,2.513085126876831,68,70.47666666666667
148,2.5286927223205566,68,70.58333333333333
149,2.544311761856079,68,70.44666666666667
150,2.559934377670288,68,70.28
151,2.5755670070648193,68,70.19666666666667
152,2.591186761856079,68,70.63
153,2.6068193912506104,68,70.27333333333333
154,2.6274003982543945,68,69.79333333333334
155,2.6430678367614746,68,70.01
156,2.658693313598633,68,70.15
157,2.6743152141571045,68,70.34
158,2.689941167831421,68,70.31333333333333
159,2.705570697784424,68,70.60666666666667
160,2.7211878299713135,68,70.1
161,2.7368078231811523,68,70.31
162,2.7524399757385254,68,70.41
163,2.7680647373199463,68,70.23666666666666
164,2.783689022064209,68,70.53666666666666
165,2.7993011474609375,68,71.06
166,2.814941883087158,68,70.87333333333333
167,2.830548048019409,68,70.83
168,2.846181869506836,68,71.05333333333333
169,2.8617959022521973,68,70.73666666666666
170,2.8774282932281494,68,70.96666666666667
171,2.893040657043457,68,70.99
172,2.908665418624878,68,71.12666666666667
173,2.9242875576019287,68,70.98
174,2.9399287700653076,68,71.01666666666667
175,2.955533742904663,68,70.74666666666667
176,2.971158266067505,68,70.32666666666667
177,2.9867827892303467,68,70.62333333333333
178,3.0024142265319824,68,70.46333333333334
179,3.0180270671844482,68,70.45666666666666
180,3.049285650253296,68,70.18333333333334
181,3.064897298812866,68,70.75333333333333
182,3.0805203914642334,68,70.53333333333333
183,3.0961532592773438,68,70.91666666666667
184,3.1117711067199707,68,70.52
185,3.1299374103546143,68,70.72
186,3.1315464973449707,68,71.05
187,3.1471760272979736,68,70.97666666666667
188,3.1784722805023193,68,71.09333333333333
189,3.1940841674804688,68,70.89
190,3.2097132205963135,68,70.63
191,3.2253308296203613,68,70.82666666666667
192,3.2409610748291016,68,70.69
193,3.2565767765045166,68,70.65666666666667
194,3.2722039222717285,68,70.22
195,3.2878353595733643,68,70.65333333333334
196,3.3034486770629883,68,70.82333333333334
197,3.3190701007843018,68,70.42
198,3.3346939086914062,68,70.70666666666666
199,3.350320816040039,68,71.06666666666666
200,3.3659467697143555,68,70.97666666666667
201,3.3815722465515137,68,71.13333333333334
202,3.3971993923187256,68,70.64666666666666
203,3.4128119945526123,68,70.97
204,3.428440809249878,68,70.75333333333333
205,3.444058656692505,68,70.90333333333334
206,3.4596829414367676,68,71.13666666666667
207,3.484522581100464,68,71.04333333333334
